date,servers_in_stock,countries,cheapest_usd,median_usd,cheapest_nvme_usd,cheapest_64gb_usd,cheapest_amd_usd
2026-07-28,658,19,31.0,237.5,53.0,42.0,72.0
2026-07-29,651,19,31.0,242.0,37.0,42.0,69.0
2026-07-30,643,19,31.0,243.0,45.0,42.0,72.0
2026-07-31,1828,68,20.0,329.0,53.0,42.0,72.0
2026-08-01,1864,68,16.0,323.0,53.0,42.0,64.0
2026-08-02,1867,68,16.0,323.0,37.0,42.0,53.0
2026-08-03,1874,68,16.0,322.0,45.0,42.0,53.0
2026-08-04,1872,68,15.0,322.5,45.0,42.0,53.0
2026-08-05,1855,68,16.0,323.0,45.0,42.0,53.0
2026-08-06,1872,68,16.0,322.0,37.0,42.0,61.0
2026-08-07,1880,68,16.0,322.0,57.0,42.0,61.0
2026-08-08,1879,68,16.0,323.0,57.0,42.0,61.0
2026-08-09,1882,68,16.0,323.0,57.0,42.0,61.0
2026-08-10,1898,68,16.0,320.0,45.0,42.0,61.0
2026-08-11,1875,68,16.0,322.0,37.0,42.0,61.0
2026-08-12,1870,68,16.0,323.0,40.0,42.0,61.0
2026-08-13,1887,68,23.0,322.0,40.0,42.0,61.0
2026-08-14,1909,68,23.0,320.0,37.0,42.0,61.0
2026-08-15,1902,68,23.0,320.0,37.0,42.0,61.0
2026-08-16,1904,68,23.0,320.0,40.0,42.0,61.0
2026-08-17,1898,68,23.0,320.0,57.0,42.0,61.0
2026-08-18,1882,68,23.0,320.0,57.0,42.0,61.0
