name,cpu,cpu_cores,cpu_threads,cpu_benchmark,ram,ram_gb,storage,storage_gb,nvme,bandwidth,location,country,country_code,price_monthly,currency,price_usd,url
Intel C2350 (Avoton) 1.70GHz 2 cores,Intel C2350 (Avoton) 1.70GHz 2 cores,2,2,898,4 GB DDR3,4,1 x 1 TB (HDD SATA),1000,False,Unmetered @ 250 Mbps,"Amsterdam, NL",Netherlands,NL,13,EUR,16.0,https://valebyte.com/en/servers/intel-c2350-avoton-1-70ghz-2-4gb-1000gb-amsterdam-nl-28bfb5/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2350 (Avoton) 1.70GHz 2 cores,Intel C2350 (Avoton) 1.70GHz 2 cores,2,2,898,4 GB DDR3,4,1 x 1 TB (HDD SATA),1000,False,Unmetered @ 250 Mbps,"Paris, FR",France,FR,13,EUR,16.0,https://valebyte.com/en/servers/intel-c2350-avoton-1-70ghz-2-4gb-1000gb-paris-fr-957734/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2350 (Avoton) 1.70GHz 2 cores,Intel C2350 (Avoton) 1.70GHz 2 cores,2,2,898,4 GB DDR3,4,1 x 120 GB (SATA SSD),120,False,Unmetered @ 250 Mbps,"Amsterdam, NL",Netherlands,NL,13,EUR,16.0,https://valebyte.com/en/servers/intel-c2350-avoton-1-70ghz-2-4gb-120gb-amsterdam-nl-675888/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i3-530 2.933GHz 2 cores,Intel Core i3-530 2.933GHz 2 cores,2,4,,4 GB DDR3,4,2x 1 TB (HDD SATA),2000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,16,EUR,20.0,https://valebyte.com/en/servers/intel-core-i3-530-2933ghz-2-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,8 GB DDR3,8,2x 1 TB (HDD SATA),2000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,18,EUR,23.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2350 (Avoton) 1.70GHz 2 cores,Intel C2350 (Avoton) 1.70GHz 2 cores,2,2,898,4 GB DDR3,4,1 x 250 GB (SATA SSD),250,False,Unmetered @ 250 Mbps,"Paris, FR",France,FR,21,EUR,26.0,https://valebyte.com/en/servers/intel-c2350-avoton-1-70ghz-2-4gb-250gb-paris-fr-c2dc24/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,16 GB DDR3,16,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,22,EUR,27.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 v2 3.1GHz 4 cores,Intel Xeon E3-1220 v2 3.1GHz 4 cores,4,4,,16 GB DDR3,16,2x 1 TB (HDD SATA),2000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,22,EUR,27.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-v2-31ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Atom D525,Atom D525,2,4,,4GB,4,500 GB (HDD),500,False,100Mbps Bandwidth @ 1 Gbps,"Los Angeles, US",United States,US,28,USD,28.0,https://valebyte.com/en/servers/atom-d525-los-angeles-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon L3426 1.86GHz 4 cores,Intel Xeon L3426 1.86GHz 4 cores,4,8,,16 GB DDR3,16,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,24,EUR,30.0,https://valebyte.com/en/servers/intel-xeon-l3426-186ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2750 (Avoton) 2.40GHz 8 cores,Intel C2750 (Avoton) 2.40GHz 8 cores,8,8,2401,8 GB DDR3,8,1 x 120 GB (SATA SSD),120,False,Unmetered @ 100 Mbps,"Paris, FR",France,FR,25,EUR,31.0,https://valebyte.com/en/servers/intel-c2750-avoton-2-40ghz-8-8gb-120gb-paris-fr-7eccc2/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2750 (Avoton) 2.40GHz 8 cores,Intel C2750 (Avoton) 2.40GHz 8 cores,8,8,2401,8 GB DDR3,8,1 x 1 TB (HDD SATA),1000,False,Unmetered @ 100 Mbps,"Paris, FR",France,FR,25,EUR,31.0,https://valebyte.com/en/servers/intel-c2750-avoton-2-40ghz-8-8gb-1000gb-paris-fr-7606d5/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v2 3.4GHz 4 cores,Intel Xeon E3-1245 v2 3.4GHz 4 cores,4,8,,32 GB DDR3,32,2x 480 GB (SSD SATA),960,False,Unmetered @ 1 Gbps,"Lille, FR",France,FR,27,EUR,34.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v2-34ghz-4-cores-lille-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
TH1520 1.85GHz 4 cores,TH1520 1.85GHz 4 cores,4,4,,16 GB DDR4,16,1 x 128 GB (MMC),128,False,Unmetered @ 100 Mbps,"Paris, FR",France,FR,28,EUR,35.0,https://valebyte.com/en/servers/th1520-1-85ghz-4-16gb-128gb-paris-fr-f4041b/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2750 (Avoton) 2.40GHz 8 cores,Intel C2750 (Avoton) 2.40GHz 8 cores,8,8,2401,16 GB DDR3,16,1 x 250 GB (SATA SSD),250,False,Unmetered @ 250 Mbps,"Amsterdam, NL",Netherlands,NL,28,EUR,35.0,https://valebyte.com/en/servers/intel-c2750-avoton-2-40ghz-8-16gb-250gb-amsterdam-nl-afd130/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel C2750 (Avoton) 2.40GHz 8 cores,Intel C2750 (Avoton) 2.40GHz 8 cores,8,8,2401,16 GB DDR3,16,1 x 1 TB (HDD SATA),1000,False,Unmetered @ 250 Mbps,"Amsterdam, NL",Netherlands,NL,28,EUR,35.0,https://valebyte.com/en/servers/intel-c2750-avoton-2-40ghz-8-16gb-1000gb-amsterdam-nl-e3381a/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v2 3.4GHz 4 cores,Intel Xeon E3-1245 v2 3.4GHz 4 cores,4,8,,32 GB DDR3,32,3x 2 TB (HDD SATA),6000,False,Unmetered @ 1 Gbps,"Lille, FR",France,FR,29,EUR,36.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v2-34ghz-4-cores-lille-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v2 3.4GHz 4 cores,Intel Xeon E3-1245 v2 3.4GHz 4 cores,4,8,,32 GB DDR3,32,2x 480 GB (SSD SATA),960,False,Unmetered @ 1 Gbps,"Montreal, CA",Canada,CA,29,EUR,36.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v2-34ghz-4-cores-montreal-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v3 3.3GHz 4 cores,Intel Xeon E3-1230 v3 3.3GHz 4 cores,4,8,,32 GB DDR3,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,29,EUR,36.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v3-33ghz-4-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon-E3 1230 v6 3.5GHz 4 cores,Intel Xeon-E3 1230 v6 3.5GHz 4 cores,4,8,,32 GB DDR4 ECC,32,2x 2 TB (SATA SoftRAID),4000,False,Unmetered @ 500 Mbps,"Sydney, AU",Australia,AU,30,EUR,37.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v6-35ghz-4-cores-sydney-au-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v2 3.4GHz 4 cores,Intel Xeon E3-1245 v2 3.4GHz 4 cores,4,8,,32 GB DDR3,32,3x 2 TB (HDD SATA),6000,False,Unmetered @ 1 Gbps,"Montreal, CA",Canada,CA,30,EUR,37.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v2-34ghz-4-cores-montreal-ca-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon-E3 1230 v6 3.5GHz 4 cores,Intel Xeon-E3 1230 v6 3.5GHz 4 cores,4,8,,16 GB DDR4 ECC,16,2x 450 GB (NVME SoftRAID),900,True,Unmetered @ 500 Mbps,"London, GB",London,,30,EUR,37.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v6-35ghz-4-cores-london-gb/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR3,32,3x 256 GB (SSD SATA),768,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,32,EUR,40.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon D-1531 2.2GHz 6 cores,Intel Xeon D-1531 2.2GHz 6 cores,6,12,,32 GB DDR4,32,2x 256 GB (SSD SATA),512,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,32,EUR,40.0,https://valebyte.com/en/servers/intel-xeon-d-1531-22ghz-6-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon D-1531 2.2GHz 6 cores,Intel Xeon D-1531 2.2GHz 6 cores,6,12,,32 GB DDR4,32,2x 500 GB (SSD SATA),1000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,32,EUR,40.0,https://valebyte.com/en/servers/intel-xeon-d-1531-22ghz-6-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,32 GB DDR3,32,2x 4 TB (HDD SATA),8000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,32,EUR,40.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr-2/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon D-1531 2.2GHz 6 cores,Intel Xeon D-1531 2.2GHz 6 cores,6,12,,32 GB DDR4,32,2x 500 GB (SSD SATA),1000,False,Unmetered @ 1 Gbps,"Amsterdam, NL",Netherlands,NL,32,EUR,40.0,https://valebyte.com/en/servers/intel-xeon-d-1531-22ghz-6-cores-amsterdam-nl/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240 v6 3.7GHz 4 cores,Intel Xeon E3-1240 v6 3.7GHz 4 cores,4,8,,32 GB DDR3,32,3x 256 GB (SSD SATA),768,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,32,EUR,40.0,https://valebyte.com/en/servers/intel-xeon-e3-1240-v6-37ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1230 v2,E3-1230 v2,,8,,16GB,16,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Los Angeles, US",United States,US,41,USD,41.0,https://valebyte.com/en/servers/e3-1230-v2-los-angeles-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240 3.3GHz 4 cores,Intel Xeon E3-1240 3.3GHz 4 cores,4,8,,24 GB DDR3,24,2x 450 GB (HDD SAS),900,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,34,EUR,42.0,https://valebyte.com/en/servers/intel-xeon-e3-1240-33ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon-E3 1245 v5 3.5GHz 4 cores,Intel Xeon-E3 1245 v5 3.5GHz 4 cores,4,8,,64 GB DDR4 ECC,64,2x 2 TB (SATA SoftRAID),4000,False,Unmetered @ 500 Mbps,"Sydney, AU",Australia,AU,34,EUR,42.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-sydney-au-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon-E3 1245 v5 3.5GHz 4 cores,Intel Xeon-E3 1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4 ECC,32,2x 480 GB (SSD SoftRAID),960,False,Unmetered @ 500 Mbps,"Singapore, SG",Singapore,SG,34,EUR,42.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-singapore-sg-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1230 v5,E3-1230 v5,,8,,16GB,16,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Los Angeles, US",United States,US,42,USD,42.0,https://valebyte.com/en/servers/e3-1230-v5-los-angeles-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3 1220v2 3.10GHz 4 cores,Intel Xeon E3 1220v2 3.10GHz 4 cores,4,4,4686,16 GB DDR3,16,2 x 1 TB (HDD SATA),2000,False,Unmetered @ 200 Mbps,"Paris, FR",France,FR,35,EUR,43.0,https://valebyte.com/en/servers/intel-xeon-e3-1220v2-3-10ghz-4-16gb-2000gb-paris-fr-c7ba84/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1230 v6,E3-1230 v6,,8,,16GB,16,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Barcelona, ES",Spain,ES,45,USD,45.0,https://valebyte.com/en/servers/e3-1230-v6-barcelona-es/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1230 v6,E3-1230 v6,,8,,16GB,16,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Chicago, US",United States,US,45,USD,45.0,https://valebyte.com/en/servers/e3-1230-v6-chicago-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270 v6 3.8GHz 4 cores,Intel Xeon E3-1270 v6 3.8GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Montreal, CA",Canada,CA,37,EUR,46.0,https://valebyte.com/en/servers/intel-xeon-e3-1270-v6-38ghz-4-cores-montreal-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Warsaw, PL",Poland,PL,37,EUR,46.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-warsaw-pl/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v3 3.3GHz 4 cores,Intel Xeon E3-1230 v3 3.3GHz 4 cores,4,8,,16 GB DDR3,16,2x 1 TB (HDD SATA),2000,False,10 TB @ 1 Gbps,"Toronto, CA",Canada,CA,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v3-33ghz-4-cores-toronto-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,32 GB DDR3,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr-3/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Singapore, SG",Singapore,SG,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-singapore-sg/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Sydney, AU",Australia,AU,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-sydney-au/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270 v6 3.8GHz 4 cores,Intel Xeon E3-1270 v6 3.8GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Singapore, SG",Singapore,SG,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1270-v6-38ghz-4-cores-singapore-sg/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270 v6 3.8GHz 4 cores,Intel Xeon E3-1270 v6 3.8GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Sydney, AU",Australia,AU,39,EUR,48.0,https://valebyte.com/en/servers/intel-xeon-e3-1270-v6-38ghz-4-cores-sydney-au/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Montreal, CA",Canada,CA,39,EUR,48.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-montreal-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
i7-7700 K,i7-7700 K,4,8,,32GB,32,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Dallas, US",United States,US,51,USD,51.0,https://valebyte.com/en/servers/i7-7700-k-dallas-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240 v3 3.4GHz 4 cores,Intel Xeon E3-1240 v3 3.4GHz 4 cores,4,8,,32 GB DDR3,32,2x 3 TB (HDD SATA),6000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,41,EUR,51.0,https://valebyte.com/en/servers/intel-xeon-e3-1240-v3-34ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v2 3.3GHz 4 cores,Intel Xeon E3-1230 v2 3.3GHz 4 cores,4,8,,32 GB DDR3,32,2x 1 TB (SSD SATA),2000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,41,EUR,51.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v2-33ghz-4-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2274G,Intel Xeon E-2274G,4,8,,32 GB DDR4 ECC,32,3x 1.92 TB (NVME SoftRAID),5760,True,Unmetered @ 500 Mbps,"Beauharnois, CA",Canada,CA,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e-2274g-beauharnois-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,8 GB DDR3,8,3x 4 TB (HDD SATA),12000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr-4/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
